id,Date,Ticker,Open,Close,High,Low,Volume
1032,2025-05-29,RELIANCE.NS,1406.48,1412.16,1414.35,1403.0,13771917
1033,2025-05-30,RELIANCE.NS,1412.36,1415.25,1424.91,1404.09,13788484
1034,2025-06-02,RELIANCE.NS,1406.48,1408.08,1411.86,1390.05,8098668
1035,2025-06-03,RELIANCE.NS,1416.64,1399.91,1420.83,1397.82,11252626
1036,2025-06-04,RELIANCE.NS,1409.07,1417.84,1420.03,1400.51,8126827
1037,2025-06-05,RELIANCE.NS,1422.32,1436.66,1448.91,1417.94,13716817
1038,2025-06-06,RELIANCE.NS,1435.27,1437.76,1445.73,1431.28,8182161
1039,2025-06-09,RELIANCE.NS,1451.2,1443.04,1451.7,1439.55,7885125
1040,2025-06-10,RELIANCE.NS,1444.23,1432.78,1448.12,1430.29,7913181
1041,2025-06-11,RELIANCE.NS,1440.05,1443.14,1462.76,1437.36,8195700
1042,2025-06-12,RELIANCE.NS,1447.72,1435.87,1451.2,1428.69,8828114
1043,2025-06-13,RELIANCE.NS,1418.34,1422.22,1429.79,1408.67,9757276
1044,2025-06-16,RELIANCE.NS,1421.22,1432.08,1436.66,1418.73,8458093
1045,2025-06-17,RELIANCE.NS,1442.24,1425.51,1442.24,1420.13,10366599
1046,2025-06-18,RELIANCE.NS,1424.31,1424.41,1437.06,1420.03,6681735
1047,2025-06-19,RELIANCE.NS,1424.41,1427.6,1434.17,1420.03,10007230
1048,2025-06-20,RELIANCE.NS,1425.31,1460.37,1465.15,1422.42,29010635
1049,2025-06-23,RELIANCE.NS,1447.22,1451.0,1457.98,1436.26,5989078
1050,2025-06-24,RELIANCE.NS,1459.17,1445.03,1469.13,1437.36,16402744
1051,2025-06-25,RELIANCE.NS,1458.18,1461.46,1466.54,1454.69,7525851
1052,2025-06-26,RELIANCE.NS,1463.26,1489.35,1492.84,1459.27,14657893
1053,2025-06-27,RELIANCE.NS,1493.44,1509.37,1515.95,1490.95,11117052
1054,2025-06-30,RELIANCE.NS,1507.78,1494.63,1518.73,1490.05,8409527
1055,2025-07-01,RELIANCE.NS,1494.63,1522.32,1525.31,1494.13,10368523
1056,2025-07-02,RELIANCE.NS,1522.32,1512.76,1523.91,1502.7,6361002
1057,2025-07-03,RELIANCE.NS,1514.75,1511.76,1525.81,1506.98,11283291
1058,2025-07-04,RELIANCE.NS,1517.94,1521.22,1523.91,1511.16,6603501
1059,2025-07-07,RELIANCE.NS,1520.53,1535.37,1538.65,1518.93,7251074
1060,2025-07-08,RELIANCE.NS,1529.89,1531.48,1538.75,1524.11,7171261
1061,2025-07-09,RELIANCE.NS,1530.59,1512.96,1544.83,1504.09,8870660
1062,2025-07-10,RELIANCE.NS,1513.65,1511.16,1518.63,1501.5,10047129
1063,2025-07-11,RELIANCE.NS,1505.99,1489.25,1508.97,1484.37,7234991
1064,2025-07-14,RELIANCE.NS,1486.26,1477.8,1494.03,1473.22,10311846
1065,2025-07-15,RELIANCE.NS,1480.29,1479.49,1490.55,1476.5,8132454
1066,2025-07-16,RELIANCE.NS,1467.14,1479.69,1485.07,1465.65,10409983
1067,2025-07-17,RELIANCE.NS,1481.48,1470.53,1483.67,1468.04,11854613
1068,2025-07-18,RELIANCE.NS,1478.89,1470.13,1478.89,1463.26,10296318
1069,2025-07-21,RELIANCE.NS,1459.17,1422.92,1470.13,1417.44,22442744
1070,2025-07-22,RELIANCE.NS,1421.72,1407.18,1426.2,1405.09,20396320
1071,2025-07-23,RELIANCE.NS,1420.33,1418.93,1420.33,1408.77,8354596
1072,2025-07-24,RELIANCE.NS,1413.55,1397.32,1417.34,1390.45,14740507
1073,2025-07-25,RELIANCE.NS,1393.34,1386.16,1395.43,1378.59,11854722
1074,2025-07-28,RELIANCE.NS,1386.76,1382.08,1402.2,1379.49,7748361
1075,2025-07-29,RELIANCE.NS,1377.5,1411.46,1414.55,1377.5,10750072
1076,2025-07-30,RELIANCE.NS,1412.46,1404.49,1417.64,1395.73,7209849
1077,2025-07-31,RELIANCE.NS,1382.58,1384.67,1397.02,1376.7,17065827
1078,2025-08-01,RELIANCE.NS,1381.38,1388.16,1400.31,1378.79,10321171
1079,2025-08-04,RELIANCE.NS,1389.55,1405.89,1410.47,1386.16,6312820
1080,2025-08-05,RELIANCE.NS,1405.39,1386.16,1405.39,1382.58,9315972
1081,2025-08-06,RELIANCE.NS,1386.36,1387.26,1390.35,1377.8,5834312
1082,2025-08-07,RELIANCE.NS,1382.18,1383.87,1388.16,1360.57,9976705
1083,2025-08-08,RELIANCE.NS,1379.49,1362.36,1391.64,1359.57,8793606
1084,2025-08-11,RELIANCE.NS,1364.55,1380.69,1382.48,1355.79,9997486
1085,2025-08-12,RELIANCE.NS,1376.4,1374.91,1396.32,1369.73,12244664
1086,2025-08-13,RELIANCE.NS,1382.48,1377.1,1386.26,1372.02,7457021
1087,2025-08-14,RELIANCE.NS,1377.3,1373.8,1380.7,1370.1,7126128
1088,2025-08-18,RELIANCE.NS,1390.0,1381.7,1394.9,1377.0,11785109
1089,2025-08-19,RELIANCE.NS,1390.0,1420.1,1421.0,1389.1,14384719
1090,2025-08-20,RELIANCE.NS,1413.0,1413.0,1424.9,1410.0,8725641
1091,2025-08-21,RELIANCE.NS,1425.0,1424.8,1431.9,1420.3,11021323
1092,2025-08-22,RELIANCE.NS,1420.0,1409.2,1423.4,1407.9,5818868
1093,2025-08-25,RELIANCE.NS,1414.7,1412.6,1419.5,1405.7,5979407
1094,2025-08-26,RELIANCE.NS,1408.0,1384.9,1410.0,1381.6,12145259
